codigo,fuente,fecha_publicacion,url,nota
CPEUM,Constitución Política de los Estados Unidos Mexicanos,2026-03-03,https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf,Texto constitucional vigente consultado; última reforma indicada en la fuente: 03-03-2026.
LOAPF,Ley Orgánica de la Administración Pública Federal,,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,Texto vigente consultado para la arquitectura de la APF y las dependencias del artículo 26.
RI_MUJERES_2025,Reglamento Interior de la Secretaría de las Mujeres,2025-01-10,https://www.dof.gob.mx/nota_detalle.php?codigo=5746949&fecha=10/01/2025,Artículo 2: unidades administrativas de la Secretaría.
MOG_MUJERES_2026,Manual de Organización General de la Secretaría de las Mujeres,2026-04-16,https://www.dof.gob.mx/nota_detalle.php?codigo=5785056&fecha=16/04/2026,Manual publicado mediante Acuerdo; permite establecer adscripción jerárquica entre unidades.
RI_SENER_2025,Reglamento Interior de la Secretaría de Energía,2025-04-17,https://www.dof.gob.mx/nota_detalle.php?codigo=5755222&fecha=17/04/2025,Artículo 2: organización de la Secretaría de Energía.
MOG_SENER_2026,Manual de Organización General de la Secretaría de Energía,2026-04-27,https://www.dof.gob.mx/abrirPDF.php?anio=2026&archivo=27042026-MAT.pdf&repo=,Manual de Organización General publicado en DOF el 27-04-2026.
RI_ATDT_2025,Reglamento Interior de la Agencia de Transformación Digital y Telecomunicaciones,2025-01-24,https://www.dof.gob.mx/nota_detalle.php?codigo=5747756&fecha=24/01/2025,Artículo 3: estructura administrativa inicial de la Agencia.
LMTR_2025,Ley en Materia de Telecomunicaciones y Radiodifusión / normativa de la Comisión Reguladora de Telecomunicaciones,2025-07-16,https://www.dof.gob.mx/nota_detalle_popup.php?codigo=5783210,La Comisión Reguladora de Telecomunicaciones es órgano administrativo desconcentrado de la ATDT; vigente en 2026.
RI_SALUD_2025,Reglamento Interior de la Secretaría de Salud,2025-02-27,https://www.dof.gob.mx/nota_detalle.php?codigo=5750389&fecha=27/02/2025,Artículo 2: estructura de la Secretaría de Salud.
RI_SEGOB_2025,Reglamento Interior de la Secretaría de Gobernación,2025-03-21,https://dof.gob.mx/abrirPDF.php?anio=2025&archivo=21032025-VES.pdf&repo=repositorio%2F,"Artículo 3: unidades administrativas, adscripción inmediata y ocho órganos administrativos desconcentrados."
RI_SHCP_2025,Decreto de reforma al Reglamento Interior de la Secretaría de Hacienda y Crédito Público,2025-02-24,https://www.dof.gob.mx/nota_detalle.php?codigo=5750009&fecha=24/02/2025,Artículo 50: régimen de suplencias usado como evidencia auxiliar para reconstruir niveles superiores y unidades adscritas; pendiente cierre con artículo 4/manual.
RI_SABG_2024_2025,Reglamento Interior de la Secretaría Anticorrupción y Buen Gobierno y reforma de 21/03/2025,2025-03-21,https://dof.gob.mx/nota_detalle.php?codigo=5752650&fecha=21/03/2025,Base 31/12/2024 + reforma 21/03/2025; incorpora Unidad de Protección de Datos Personales y Transparencia para el Pueblo.
RI_SEP_2025,Reforma al Reglamento Interior de la Secretaría de Educación Pública,2025-10-03,https://www.dof.gob.mx/nota_detalle.php?codigo=5769097&fecha=03/10/2025,Reforma vigente usada para actualizar las unidades superiores; fe de erratas publicada 15/10/2025 debe considerarse al cargar direcciones generales.
RI_SICT_2026,"Reglamento Interior de la Secretaría de Infraestructura, Comunicaciones y Transportes",2026-06-09,https://www.dof.gob.mx/abrirPDF.php?anio=2026&archivo=09062026-VES.pdf&repo=repositorio%2F,Nuevo Reglamento Interior de 2026; v0.3 carga ramas superiores verificadas y continúa transcripción integral.
RI_SEMARNAT_2025,Reglamento Interior de la Secretaría de Medio Ambiente y Recursos Naturales,2025-03-14,https://www.dof.gob.mx/abrirPDF.php?anio=2025&archivo=14032025-MAT.pdf&repo=repositorio%2F,Artículo 3: estructura básica de unidades administrativas y cuatro órganos administrativos desconcentrados.
